Date,Open,High,Low,Close,Adj Close,Volume
2018-10-10,111.239998,111.500000,105.790001,106.160004,105.253845,61376300
2018-10-11,105.349998,108.930000,104.199997,105.910004,105.005981,63904300
2018-10-12,109.010002,111.239998,107.120003,109.570000,108.634735,47742100
2018-10-15,108.910004,109.480003,106.949997,107.599998,106.681557,32068100
2018-10-16,109.540001,111.410004,108.949997,111.000000,110.052536,31610200
2018-10-17,111.680000,111.809998,109.550003,110.709999,109.765007,26548200
2018-10-18,110.099998,110.529999,107.830002,108.500000,107.573868,32506200
2018-10-19,108.930000,110.860001,108.209999,108.660004,107.732506,32785500
2018-10-22,109.320000,110.540001,108.239998,109.629997,108.694221,26545600
2018-10-23,107.769997,108.970001,105.110001,108.099998,107.177284,43770400
2018-10-24,108.410004,108.489998,101.589996,102.320000,101.446625,63897800
2018-10-25,106.550003,109.269997,106.150002,108.300003,107.375580,61646800
2018-10-26,105.690002,108.750000,104.760002,106.959999,106.047012,55523100
2018-10-29,108.110001,108.699997,101.629997,103.849998,102.963562,55162000
2018-10-30,103.660004,104.379997,100.110001,103.730003,102.844597,65350900
2018-10-31,105.440002,108.139999,105.389999,106.809998,105.898293,51062400
2018-11-01,107.050003,107.320000,105.529999,105.919998,105.015892,33384200
2018-11-02,106.480003,107.320000,104.980003,106.160004,105.253845,37680200
2018-11-05,106.370003,107.739998,105.900002,107.510002,106.592323,27922100
2018-11-06,107.379997,108.839996,106.279999,107.720001,106.800529,24340200
2018-11-07,109.440002,112.239998,109.400002,111.959999,111.004333,37901700
2018-11-08,111.800003,112.209999,110.910004,111.750000,110.796135,25644100
2018-11-09,110.849998,111.449997,108.760002,109.570000,108.634735,32039200
2018-11-12,109.419998,109.959999,106.099998,106.870003,105.957787,33621800
2018-11-13,107.550003,108.739998,106.639999,106.940002,106.027191,35374600
2018-11-14,108.099998,108.260002,104.470001,104.970001,104.523613,39495100
2018-11-15,104.989998,107.800003,103.910004,107.279999,106.823784,38505200
2018-11-16,107.080002,108.879997,106.800003,108.290001,107.829491,33502100
2018-11-19,108.269997,108.559998,103.550003,104.620003,104.175102,44773900
2018-11-20,101.800003,102.970001,99.349998,101.709999,101.277473,64052500
2018-11-21,103.599998,104.430000,102.239998,103.110001,102.671516,28130600
2018-11-23,102.169998,103.809998,102.000000,103.070000,102.631691,13823100
2018-11-26,104.790001,106.629997,104.580002,106.470001,106.017235,32336200
2018-11-27,106.269997,107.330002,105.360001,107.139999,106.684380,29124500
2018-11-28,107.889999,111.330002,107.860001,111.120003,110.647461,46788500
2018-11-29,110.330002,111.120003,109.029999,110.190002,109.721413,28123200
2018-11-30,110.699997,110.970001,109.360001,110.889999,110.418434,33665600
2018-12-03,113.000000,113.419998,110.730003,112.089996,111.613327,34732800
2018-12-04,111.940002,112.639999,108.209999,108.519997,108.058510,45197000
2018-12-06,105.820000,109.239998,105.000000,109.190002,108.725670,49107400
2018-12-07,108.379997,109.449997,104.300003,104.820000,104.374245,45044900
2018-12-10,104.800003,107.980003,103.889999,107.589996,107.132462,40801500
2018-12-11,109.800003,110.949997,107.440002,108.589996,108.128212,42381900
2018-12-12,110.889999,111.269997,109.040001,109.080002,108.616135,36183000
2018-12-13,109.580002,110.870003,108.629997,109.449997,108.984558,31333400
2018-12-14,108.250000,109.260002,105.500000,106.029999,105.579102,47043100
